epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06543,2.43073,3.58673,1.99993,0.17846,0.26951,0.15477,0.07567,1.90786,3.87908,1.88264,0.0026,0.0026,0.0766
2,7.2104,1.86942,2.2726,1.59166,0.32347,0.42851,0.26565,0.14071,1.82127,2.43575,1.70898,0.00526502,0.00526502,0.052265
3,10.278,1.72926,2.1318,1.41403,0.26518,0.39626,0.25859,0.14698,1.87296,2.66802,1.62466,0.0078944,0.0078944,0.0278944
4,13.3968,1.75434,2.06886,1.38949,0.25183,0.42127,0.22776,0.09753,1.92093,3.13315,1.61136,0.009802,0.009802,0.009802
5,16.38,1.75643,1.99399,1.40517,0.2501,0.32677,0.1818,0.08635,2.14567,2.98566,1.89657,0.009736,0.009736,0.009736
6,19.368,1.78404,1.92932,1.40554,0.31973,0.40319,0.30805,0.14875,1.92527,2.47771,1.70231,0.00967,0.00967,0.00967
7,22.3852,1.70806,1.82298,1.39097,0.26576,0.35089,0.22294,0.10225,1.92378,2.78987,1.77903,0.009604,0.009604,0.009604
8,25.4026,1.73184,1.84664,1.40239,0.3008,0.37943,0.26607,0.13316,1.93418,2.26197,1.69063,0.009538,0.009538,0.009538
9,28.4009,1.70975,1.8108,1.3862,0.36499,0.37573,0.29557,0.15066,2.02037,2.36438,1.77119,0.009472,0.009472,0.009472
10,31.4563,1.68726,1.74584,1.37595,0.25308,0.4437,0.25173,0.11909,2.01411,2.57308,1.77147,0.009406,0.009406,0.009406
11,34.4518,1.65764,1.70815,1.34596,0.39707,0.38696,0.35222,0.18495,1.86099,2.2922,1.66005,0.00934,0.00934,0.00934
12,37.5173,1.66356,1.69489,1.36063,0.34057,0.44735,0.31147,0.14912,1.84502,2.18172,1.64312,0.009274,0.009274,0.009274
13,40.5504,1.67059,1.65563,1.3555,0.31628,0.48803,0.33751,0.17296,1.84626,2.08858,1.66923,0.009208,0.009208,0.009208
14,43.6416,1.63883,1.64213,1.33374,0.38054,0.45958,0.35628,0.17949,1.8927,2.04985,1.67611,0.009142,0.009142,0.009142
15,46.6146,1.58914,1.60202,1.34393,0.4393,0.46761,0.40046,0.20722,1.85246,1.91688,1.65776,0.009076,0.009076,0.009076
16,49.658,1.59298,1.55584,1.3159,0.40007,0.4789,0.38298,0.20714,1.83093,1.98249,1.66473,0.00901,0.00901,0.00901
17,52.7318,1.56787,1.52481,1.3083,0.43107,0.47414,0.40263,0.20948,1.77287,2.06206,1.61407,0.008944,0.008944,0.008944
18,55.825,1.57751,1.54123,1.32179,0.47862,0.48024,0.44122,0.2331,1.7987,1.97916,1.59704,0.008878,0.008878,0.008878
19,58.8658,1.56328,1.48634,1.30153,0.41985,0.46641,0.38977,0.20324,1.82096,1.94452,1.65081,0.008812,0.008812,0.008812
20,61.9002,1.54929,1.47632,1.28487,0.49387,0.44683,0.4276,0.23522,1.79174,2.06785,1.58053,0.008746,0.008746,0.008746
21,64.9734,1.53267,1.46503,1.2941,0.48616,0.50647,0.46779,0.24942,1.7434,1.71521,1.56873,0.00868,0.00868,0.00868
22,68.1223,1.50607,1.43636,1.26147,0.44006,0.54394,0.45494,0.24579,1.76978,1.86813,1.5883,0.008614,0.008614,0.008614
