epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,85.6178,1.40076,1.16264,1.12534,0.54833,0.52518,0.47886,0.26328,1.70313,1.72074,1.4273,0.007228,0.007228,0.007228
44,87.5746,1.38024,1.15537,1.11707,0.56244,0.53843,0.5432,0.30618,1.66283,1.56852,1.39559,0.007162,0.007162,0.007162
45,89.5582,1.3708,1.14532,1.10899,0.52171,0.55214,0.49773,0.27719,1.66424,1.60044,1.41302,0.007096,0.007096,0.007096
46,91.5461,1.39236,1.14946,1.12247,0.58278,0.51463,0.50827,0.27982,1.69497,1.63246,1.42716,0.00703,0.00703,0.00703
47,93.5274,1.37668,1.1256,1.10193,0.54675,0.57736,0.53912,0.30053,1.68122,1.56273,1.42165,0.006964,0.006964,0.006964
48,95.4415,1.36294,1.12076,1.09731,0.53264,0.57262,0.53455,0.29283,1.73272,1.71636,1.46112,0.006898,0.006898,0.006898
49,97.3826,1.3496,1.09137,1.0985,0.53772,0.52429,0.50478,0.27244,1.73487,1.72207,1.4443,0.006832,0.006832,0.006832
50,99.399,1.33887,1.09319,1.09166,0.49854,0.57789,0.47484,0.25453,1.73872,1.75198,1.44248,0.006766,0.006766,0.006766
51,101.401,1.37614,1.13544,1.1047,0.59732,0.57897,0.55248,0.30671,1.71429,1.61225,1.43549,0.0067,0.0067,0.0067
52,103.536,1.33776,1.08431,1.096,0.54613,0.58975,0.54001,0.2992,1.67542,1.572,1.41327,0.006634,0.006634,0.006634
53,105.49,1.31537,1.07224,1.0787,0.55098,0.5118,0.50049,0.26504,1.72213,1.6444,1.46254,0.006568,0.006568,0.006568
54,107.437,1.30682,1.05242,1.07525,0.54249,0.55545,0.52854,0.29559,1.67687,1.64502,1.44273,0.006502,0.006502,0.006502
55,109.372,1.32333,1.0861,1.09623,0.55095,0.55113,0.53482,0.30065,1.67341,1.54871,1.44688,0.006436,0.006436,0.006436
56,111.374,1.32003,1.07061,1.08113,0.56599,0.54928,0.53251,0.30013,1.65969,1.61245,1.43044,0.00637,0.00637,0.00637
57,113.292,1.32071,1.02967,1.07615,0.57825,0.55966,0.55922,0.31617,1.65302,1.5544,1.42512,0.006304,0.006304,0.006304
58,115.264,1.30764,1.02041,1.07148,0.55926,0.55463,0.51234,0.28063,1.69818,1.68246,1.42943,0.006238,0.006238,0.006238
59,117.192,1.27411,0.99655,1.05985,0.54247,0.56904,0.5404,0.30523,1.65316,1.57924,1.44272,0.006172,0.006172,0.006172
60,119.157,1.27669,1.00299,1.0648,0.55834,0.56866,0.55234,0.31284,1.6571,1.57349,1.44381,0.006106,0.006106,0.006106
61,121.097,1.2577,0.98166,1.05935,0.61677,0.57256,0.57325,0.32661,1.63698,1.60819,1.41224,0.00604,0.00604,0.00604
62,123.092,1.27152,0.98877,1.05797,0.63127,0.5098,0.54802,0.30602,1.64228,1.61045,1.40697,0.005974,0.005974,0.005974
63,125.005,1.26623,0.97218,1.05957,0.60155,0.57195,0.56068,0.31882,1.66651,1.53461,1.43184,0.005908,0.005908,0.005908
64,127.009,1.27517,0.98741,1.05923,0.58797,0.56109,0.54245,0.31357,1.63717,1.57036,1.40677,0.005842,0.005842,0.005842
65,128.937,1.23184,0.96955,1.05545,0.57677,0.59566,0.56134,0.30574,1.68874,1.56149,1.45484,0.005776,0.005776,0.005776
66,130.921,1.25983,0.96293,1.06024,0.56863,0.5697,0.52418,0.28964,1.68573,1.70968,1.429,0.00571,0.00571,0.00571
67,132.919,1.22875,0.9628,1.05488,0.59459,0.57198,0.56781,0.32154,1.65918,1.52874,1.40879,0.005644,0.005644,0.005644
68,134.883,1.25137,0.94196,1.04901,0.57213,0.60501,0.55277,0.32188,1.63853,1.49134,1.41716,0.005578,0.005578,0.005578
69,136.865,1.23128,0.9404,1.04344,0.58431,0.62422,0.55884,0.32549,1.66289,1.50315,1.42569,0.005512,0.005512,0.005512
70,138.79,1.19424,0.93815,1.03129,0.60873,0.58949,0.57194,0.33366,1.66248,1.51937,1.41121,0.005446,0.005446,0.005446
71,140.768,1.20306,0.92816,1.04615,0.58581,0.61015,0.56568,0.32099,1.60518,1.52356,1.39907,0.00538,0.00538,0.00538
72,142.805,1.22272,0.93763,1.04144,0.58774,0.60832,0.57794,0.32909,1.61754,1.59221,1.38559,0.005314,0.005314,0.005314
73,144.747,1.21314,0.92001,1.04195,0.60212,0.6145,0.56772,0.31989,1.67024,1.59775,1.39385,0.005248,0.005248,0.005248
74,146.712,1.21285,0.92208,1.03288,0.64112,0.59233,0.57374,0.32693,1.63229,1.52845,1.36993,0.005182,0.005182,0.005182
75,148.62,1.21771,0.91197,1.03157,0.63243,0.62142,0.59453,0.34735,1.60824,1.4468,1.38013,0.005116,0.005116,0.005116
76,150.6,1.20403,0.91225,1.04036,0.63764,0.61407,0.58304,0.3297,1.63875,1.52321,1.41134,0.00505,0.00505,0.00505
77,152.545,1.18133,0.89237,1.03671,0.59644,0.60571,0.56562,0.32525,1.61529,1.5324,1.40562,0.004984,0.004984,0.004984
78,154.551,1.17829,0.87883,1.02216,0.56548,0.58398,0.53484,0.30161,1.66344,1.69867,1.42618,0.004918,0.004918,0.004918
79,156.526,1.17747,0.86986,1.02191,0.62994,0.58153,0.55735,0.3185,1.65656,1.51019,1.43544,0.004852,0.004852,0.004852
80,158.524,1.15389,0.87703,1.0231,0.66478,0.54038,0.57097,0.33055,1.6413,1.59135,1.4326,0.004786,0.004786,0.004786
81,160.536,1.15769,0.8382,1.01829,0.61171,0.60023,0.59197,0.33423,1.68117,1.4962,1.41888,0.00472,0.00472,0.00472
82,162.508,1.17361,0.86228,1.0292,0.6292,0.57252,0.54687,0.31014,1.71524,1.63368,1.44182,0.004654,0.004654,0.004654
83,164.535,1.13793,0.85124,1.01317,0.65656,0.56351,0.58149,0.33167,1.67982,1.59121,1.45804,0.004588,0.004588,0.004588
84,166.516,1.15336,0.85027,1.01792,0.66807,0.54822,0.57916,0.33504,1.62997,1.55861,1.39608,0.004522,0.004522,0.004522
85,168.497,1.14718,0.84944,1.01618,0.63381,0.59567,0.5965,0.3477,1.63837,1.55053,1.4292,0.004456,0.004456,0.004456
86,170.479,1.14145,0.83423,1.00696,0.67082,0.59359,0.61007,0.35509,1.647,1.51795,1.42901,0.00439,0.00439,0.00439
87,172.459,1.12448,0.81512,1.01448,0.57818,0.61545,0.56438,0.31865,1.6588,1.56781,1.42799,0.004324,0.004324,0.004324
88,174.451,1.13553,0.8372,1.00491,0.61025,0.60162,0.57441,0.33601,1.63041,1.49269,1.42883,0.004258,0.004258,0.004258
89,176.469,1.13685,0.82872,1.01124,0.62708,0.60267,0.58162,0.33812,1.64364,1.53821,1.41418,0.004192,0.004192,0.004192
90,178.446,1.13189,0.8239,1.0031,0.68036,0.55701,0.57932,0.32914,1.66619,1.52269,1.39309,0.004126,0.004126,0.004126
91,180.425,1.12858,0.82488,1.01164,0.6244,0.61558,0.59898,0.33874,1.62812,1.49956,1.3968,0.00406,0.00406,0.00406
92,182.373,1.11648,0.80649,1.00481,0.59643,0.64501,0.59088,0.34008,1.65666,1.58117,1.38725,0.003994,0.003994,0.003994
93,184.33,1.10522,0.78777,0.996,0.61638,0.6268,0.58895,0.34547,1.63453,1.56562,1.432,0.003928,0.003928,0.003928
94,186.317,1.1005,0.78842,0.99999,0.64633,0.59255,0.55827,0.32217,1.67277,1.64337,1.40775,0.003862,0.003862,0.003862
